symbol,dec,hex
!,33,21
“””“,34,22
#,35,23
$,36,24
%,37,25
&,38,26
',39,27
(,40,28
),41,29
*,42,2A
+,43,2B
“,”,44,2C
-,45,2D
.,46,2E
/,47,2F
0,48,30
1,49,31
2,50,32
3,51,33
4,52,34
5,53,35
6,54,36
7,55,37
8,56,38
9,57,39
:,58,3A
;,59,3B
<,60,3C
=,61,3D
>,62,3E
?,63,3F
@,64,40
[,91,5B
\,92,5C
],93,5D
^,94,5E
_,95,5F
`,96,60
a,97,61
b,98,62
c,99,63
d,100,64
e,101,65
f,102,66
g,103,67
h,104,68
i,105,69
j,106,6A
k,107,6B
l,108,6C
m,109,6D
n,110,6E
o,111,6F
p,112,70
q,113,71
r,114,72
s,115,73
t,116,74
u,117,75
v,118,76
w,119,77
x,120,78
y,121,79
z,122,7A
{,123,7B
|,124,7C
},125,7D
~,126,7E
€,128,80
‚,130,82
ƒ,131,83
„,132,84
…,133,85
†,134,86
‡,135,87
ˆ,136,88
‰,137,89
‹,139,8B
‘,145,91
’,146,92
“,147,93
”,148,94
•,149,95
–,150,96
—,151,97
˜,152,98
™,153,99
›,155,9B
¡,161,A1
¢,162,A2
£,163,A3
¤,164,A4
¥,165,A5
¦,166,A6
§,167,A7
¨,168,A8
©,169,A9
ª,170,AA
«,171,AB
¬,172,AC
®,174,AE
¯,175,AF
°,176,B0
±,177,B1
²,178,B2
³,179,B3
´,180,B4
¶,182,B6
·,183,B7
¸,184,B8
¹,185,B9
º,186,BA
»,187,BB
¼,188,BC
½,189,BD
¾,190,BE
¿,191,BF
×,215,D7
÷,247,F7
