words,rgb,hsb
Visualizing,-3945773,-7459885
Twitter,-3936576,-9040704
Topics,-6109471,-13478943
Across,-7418396,-13851164
America,-6566474,-14461002
from,-3742502,-6875174
data,-5264149,-10531605
import,-3089692,-3202588
load,-3941716,-9496404
tweets,-3084592,-4518448
datetime,-4144169,-7916841
geo,-4146726,-7521318
us,-1120512,-16777216
states,-1584950,-3529342
state,-1584980,-5496978
pop,-2237731,-2285385
distance,-3753507,-5882659
make,-3756851,-6470963
position,-2892329,-3138345
longitude,-2898221,-3330093
latitude,-3947541,-6211605
maps,-2249507,-2275393
draw,-2890580,-5893460
wait,-1135418,-3784587
random,-3292205,-4836909
Phase,-5456724,-13423188
1,1,1
Working,-5058339,-11917091
With,-5912853,-13350421
Tweets,-6558000,-15904048
The,-8272967,-13912903
tweet,-3084615,-5894983
abstract,-3943478,-8052022
type,-3081251,-3865635
implemented,-4143395,-7720483
as,-5445888,-16777216
a,-5505024,-16777216
dictionary,-2442032,-3131716
def,-4802116,-10865732
text,-1328648,-506728
time,-3094829,-4116525
lat,-3101461,-2470677
lon,-3089705,-3989545
Return,-5059103,-11653919
represented,-3292956,-3852060
Python,-6558751,-15639839
,0,0
A,-12451840,-16777216
string,-2629168,-3139387
the,-1326151,-4641938
of,-2442240,-16777216
all,-5451568,-13752624
in,-3746048,-16777216
lowercase,-4398646,-10283062
object,-3493926,-4897574
that,-1326164,-5494682
was,-676633,-1619089
posted,-1783091,-3331439
number,-3943462,-7395878
location,-3744324,-8119876
t,-1376256,-16777216
just,-2429209,-1634357
ate,-5444679,-15331655
lunch,-4139049,-8445481
2012,2012,2012
9,9,9
24,24,24
13,13,13
38,38,38
74,74,74
0,0,0
p,-2293760,-16777216
return,-1585695,-2020206
words,-2891292,-2352412
representing,-3094822,-3657510
when,-1784903,-4641915
ABSTRACTION,-10720932,-13214660
BARRIER,-10072221,-12295344
functional,-3742525,-7924541
point,-2432570,-3795025
format,-3750937,-5622041
2,2,2
Geometry,-5255711,-12505887
Maps,-5722915,-12103971
check,-5060935,-12310087
intersect,-4403737,-8704537
segstart,-1779018,-4842883
segend,-3094855,-5690951
Takes,-6567219,-13999155
three,-3097372,-2999324
positions,-2892326,-2941478
and,-5449802,-14476106
two,-1313318,-2488213
endpoints,-3285558,-5563702
line,-3946793,-7196457
segment,-1984054,-3524706
Checks,-8534320,-13709114
whether,-1326151,-4641938
ray,-1790725,-306755
pointing,-2631738,-3792964
due,-4788551,-12776263
east,-3101465,-2733081
goes,-2893127,-5039431
through,-2631728,-3137339
to,-1320448,-16777216
y,-327680,-16777216
x,-524288,-16777216
init,-2631738,-3792964
final,-5059881,-11785001
if,-3752960,-16777216
